|6.6.6
primRef_quadrant5_1.tab                                                                             
           2
T(K)    
   2766.6999999999998     
   31.623076923076926     
          40
P(bar)  
   466667.00000000000     
   11965.820512820514     
          40
           6
T(K)           P(bar)         mode           rho,kg/m3      Ks,bar         Gs,bar        
  2766.70        466667.       0.341097E+010   4738.98       0.396560E+007  0.177337E+007
  2798.32        466667.       0.359812E+010   4735.65       0.395916E+007  0.176649E+007
  2829.95        466667.       0.378521E+010   4732.33       0.395276E+007  0.175958E+007
  2861.57        466667.       0.397224E+010   4729.00       0.394636E+007  0.175265E+007
  2893.19        466667.       0.415922E+010   4725.68       0.393996E+007  0.174571E+007
  2924.82        466667.       0.434613E+010   4722.35       0.393357E+007  0.173874E+007
  2956.44        466667.       0.453300E+010   4719.02       0.392717E+007  0.173175E+007
  2988.06        466667.       0.471981E+010   4715.69       0.392081E+007  0.172475E+007
  3019.68        466667.       0.490656E+010   4712.36       0.391445E+007  0.171772E+007
  3051.31        466667.       0.509327E+010   4709.02       0.390809E+007  0.171068E+007
  3082.93        466667.       0.527992E+010   4705.68       0.390174E+007  0.170362E+007
  3114.55        466667.       0.546653E+010   4702.34       0.389539E+007  0.169654E+007
  3146.18        466667.       0.565308E+010   4699.00       0.388905E+007  0.168944E+007
  3177.80        466667.       0.583959E+010   4695.65       0.388271E+007  0.168233E+007
  3209.42        466667.       0.602605E+010   4692.31       0.387637E+007  0.167520E+007
  3241.05        466667.       0.621247E+010   4688.95       0.387004E+007  0.166805E+007
  3272.67        466667.       0.639884E+010   4685.60       0.386371E+007  0.166088E+007
  3304.29        466667.       0.658517E+010   4682.24       0.385739E+007  0.165369E+007
  3335.92        466667.       0.677146E+010   4678.87       0.385107E+007  0.164649E+007
  3367.54        466667.       0.695770E+010   4675.50       0.384475E+007  0.163927E+007
  3399.16        466667.       0.714390E+010   4672.13       0.383843E+007  0.163203E+007
  3430.78        466667.       0.733006E+010   4668.75       0.383206E+007  0.162477E+007
  3462.41        466667.       0.751619E+010   4665.37       0.382580E+007  0.161750E+007
  3494.03        466667.       0.770227E+010   4661.98       0.381949E+007  0.161021E+007
  3525.65        466667.       0.788832E+010   4658.59       0.381331E+007  0.160291E+007
  3557.28        466667.       0.807433E+010   4655.19       0.380687E+007  0.159558E+007
  3588.90        466667.       0.826030E+010   4651.79       0.380041E+007  0.158824E+007
  3620.52        466667.       0.844624E+010   4648.38       0.379425E+007  0.158089E+007
  3652.15        466667.       0.863215E+010   4644.96       0.378776E+007  0.157351E+007
  3683.77        466667.       0.881802E+010   4641.54       0.378163E+007  0.156612E+007
  3715.39        466667.       0.900386E+010   4638.12       0.377528E+007  0.155872E+007
  3747.02        466667.       0.918966E+010   4634.68       0.376900E+007  0.155129E+007
  3778.64        466667.       0.937544E+010   4631.24       0.376269E+007  0.154385E+007
  3810.26        466667.       0.956118E+010   4627.80       0.375638E+007  0.153639E+007
  3841.88        466667.       0.974690E+010   4624.35       0.375007E+007  0.152892E+007
  3873.51        466667.       0.993258E+010   4620.89       0.374375E+007  0.152143E+007
  3905.13        466667.       0.101182E+011   4617.42       0.373743E+007  0.151392E+007
  3936.75        466667.       0.103039E+011   4613.95       0.373110E+007  0.150639E+007
  3968.38        466667.       0.104895E+011   4610.47       0.372478E+007  0.149885E+007
  4000.00        466667.       0.106750E+011   4606.98       0.371847E+007  0.149129E+007
  2766.70        478633.       0.454768E+010   4754.81       0.401375E+007  0.178927E+007
  2798.32        478633.       0.473460E+010   4751.50       0.400750E+007  0.178245E+007
  2829.95        478633.       0.492145E+010   4748.19       0.400091E+007  0.177561E+007
  2861.57        478633.       0.510824E+010   4744.89       0.399450E+007  0.176875E+007
  2893.19        478633.       0.529496E+010   4741.58       0.398811E+007  0.176187E+007
  2924.82        478633.       0.548162E+010   4738.27       0.398172E+007  0.175497E+007
  2956.44        478633.       0.566823E+010   4734.97       0.397534E+007  0.174805E+007
  2988.06        478633.       0.585477E+010   4731.66       0.396896E+007  0.174111E+007
  3019.68        478633.       0.604125E+010   4728.34       0.396260E+007  0.173415E+007
  3051.31        478633.       0.622768E+010   4725.03       0.395624E+007  0.172717E+007
  3082.93        478633.       0.641405E+010   4721.72       0.394989E+007  0.172017E+007
  3114.55        478633.       0.660037E+010   4718.40       0.394355E+007  0.171316E+007
  3146.18        478633.       0.678663E+010   4715.08       0.393721E+007  0.170612E+007
  3177.80        478633.       0.697284E+010   4711.76       0.393087E+007  0.169907E+007
  3209.42        478633.       0.715900E+010   4708.44       0.392454E+007  0.169200E+007
  3241.05        478633.       0.734511E+010   4705.11       0.391822E+007  0.168491E+007
  3272.67        478633.       0.753117E+010   4701.78       0.391189E+007  0.167780E+007
  3304.29        478633.       0.771718E+010   4698.44       0.390558E+007  0.167068E+007
  3335.92        478633.       0.790314E+010   4695.11       0.389940E+007  0.166353E+007
  3367.54        478633.       0.808906E+010   4691.76       0.389296E+007  0.165637E+007
  3399.16        478633.       0.827493E+010   4688.42       0.388665E+007  0.164919E+007
  3430.78        478633.       0.846075E+010   4685.07       0.388035E+007  0.164200E+007
  3462.41        478633.       0.864653E+010   4681.71       0.387405E+007  0.163479E+007
  3494.03        478633.       0.883227E+010   4678.36       0.386775E+007  0.162756E+007
  3525.65        478633.       0.901797E+010   4674.99       0.386145E+007  0.162031E+007
  3557.28        478633.       0.920362E+010   4671.62       0.385515E+007  0.161305E+007
  3588.90        478633.       0.938924E+010   4668.25       0.384886E+007  0.160577E+007
  3620.52        478633.       0.957481E+010   4664.87       0.384257E+007  0.159847E+007
  3652.15        478633.       0.976034E+010   4661.49       0.383627E+007  0.159116E+007
  3683.77        478633.       0.994584E+010   4658.10       0.382998E+007  0.158383E+007
  3715.39        478633.       0.101313E+011   4654.70       0.382368E+007  0.157648E+007
  3747.02        478633.       0.103167E+011   4651.30       0.381739E+007  0.156911E+007
  3778.64        478633.       0.105021E+011   4647.90       0.381110E+007  0.156173E+007
  3810.26        478633.       0.106874E+011   4644.48       0.380569E+007  0.155433E+007
  3841.88        478633.       0.108728E+011   4641.06       0.379861E+007  0.154692E+007
  3873.51        478633.       0.110580E+011   4637.64       0.379221E+007  0.153949E+007
  3905.13        478633.       0.112433E+011   4634.21       0.378591E+007  0.153204E+007
  3936.75        478633.       0.114285E+011   4630.77       0.377962E+007  0.152458E+007
  3968.38        478633.       0.116137E+011   4627.32       0.377332E+007  0.151709E+007
  4000.00        478633.       0.117988E+011   4623.87       0.376674E+007  0.150960E+007
  2766.70        490599.       0.569088E+010   4770.10       0.405969E+007  0.180581E+007
  2798.32        490599.       0.587681E+010   4766.93       0.405391E+007  0.179879E+007
  2829.95        490599.       0.606272E+010   4763.77       0.404813E+007  0.179175E+007
  2861.57        490599.       0.624862E+010   4760.59       0.404234E+007  0.178471E+007
  2893.19        490599.       0.643497E+010   4757.32       0.403607E+007  0.177784E+007
  2924.82        490599.       0.662140E+010   4754.04       0.402968E+007  0.177101E+007
  2956.44        490599.       0.680776E+010   4750.75       0.402330E+007  0.176415E+007
  2988.06        490599.       0.699405E+010   4747.46       0.401693E+007  0.175728E+007
  3019.68        490599.       0.718028E+010   4744.17       0.401048E+007  0.175038E+007
  3051.31        490599.       0.736645E+010   4740.88       0.400421E+007  0.174347E+007
  3082.93        490599.       0.755256E+010   4737.59       0.399786E+007  0.173653E+007
  3114.55        490599.       0.773860E+010   4734.29       0.399152E+007  0.172958E+007
  3146.18        490599.       0.792459E+010   4731.00       0.398510E+007  0.172261E+007
  3177.80        490599.       0.811053E+010   4727.70       0.397885E+007  0.171562E+007
  3209.42        490599.       0.829640E+010   4724.40       0.397253E+007  0.170861E+007
  3241.05        490599.       0.848222E+010   4721.09       0.396621E+007  0.170158E+007
  3272.67        490599.       0.866799E+010   4717.79       0.395989E+007  0.169453E+007
  3304.29        490599.       0.885370E+010   4714.48       0.395358E+007  0.168747E+007
  3335.92        490599.       0.903936E+010   4711.17       0.394728E+007  0.168039E+007
  3367.54        490599.       0.922497E+010   4707.85       0.394098E+007  0.167329E+007
  3399.16        490599.       0.941053E+010   4704.53       0.393468E+007  0.166617E+007
  3430.78        490599.       0.959604E+010   4701.21       0.392839E+007  0.165903E+007
  3462.41        490599.       0.978150E+010   4697.88       0.392209E+007  0.165188E+007
  3494.03        490599.       0.996691E+010   4694.55       0.391581E+007  0.164471E+007
  3525.65        490599.       0.101523E+011   4691.22       0.390952E+007  0.163752E+007
  3557.28        490599.       0.103376E+011   4687.88       0.390337E+007  0.163032E+007
  3588.90        490599.       0.105229E+011   4684.53       0.389696E+007  0.162310E+007
  3620.52        490599.       0.107081E+011   4681.18       0.389067E+007  0.161586E+007
  3652.15        490599.       0.108933E+011   4677.83       0.388440E+007  0.160861E+007
  3683.77        490599.       0.110784E+011   4674.47       0.387792E+007  0.160134E+007
  3715.39        490599.       0.112635E+011   4671.11       0.387184E+007  0.159405E+007
  3747.02        490599.       0.114486E+011   4667.74       0.386552E+007  0.158674E+007
  3778.64        490599.       0.116336E+011   4664.36       0.385929E+007  0.157942E+007
  3810.26        490599.       0.118186E+011   4660.98       0.385301E+007  0.157208E+007
