|6.6.6
primRef_quadrant7_1.tab                                                                             
           2
T(K)    
   1533.3000000000000     
   31.625641025641023     
          40
P(bar)  
   933334.00000000000     
   11965.794871794871     
          40
           6
T(K)           P(bar)         mode           rho,kg/m3      Ks,bar         Gs,bar        
  1533.30        933334.       0.433945E+011   5352.10       0.588929E+007  0.257485E+007
  1564.93        933334.       0.435730E+011   5349.79       0.588437E+007  0.256908E+007
  1596.55        933334.       0.437517E+011   5347.47       0.587943E+007  0.256331E+007
  1628.18        933334.       0.439305E+011   5345.14       0.587449E+007  0.255752E+007
  1659.80        933334.       0.441094E+011   5342.81       0.586954E+007  0.255172E+007
  1691.43        933334.       0.442885E+011   5340.48       0.586458E+007  0.254591E+007
  1723.05        933334.       0.444676E+011   5338.14       0.585962E+007  0.254009E+007
  1754.68        933334.       0.446469E+011   5335.79       0.585465E+007  0.253426E+007
  1786.31        933334.       0.448263E+011   5333.45       0.584967E+007  0.252843E+007
  1817.93        933334.       0.450057E+011   5331.09       0.584469E+007  0.252258E+007
  1849.56        933334.       0.451852E+011   5328.74       0.583970E+007  0.251672E+007
  1881.18        933334.       0.453648E+011   5326.38       0.583471E+007  0.251086E+007
  1912.81        933334.       0.455445E+011   5324.01       0.582969E+007  0.250499E+007
  1944.43        933334.       0.457242E+011   5321.65       0.582471E+007  0.249911E+007
  1976.06        933334.       0.459039E+011   5319.28       0.581970E+007  0.249322E+007
  2007.68        933334.       0.460837E+011   5316.90       0.581468E+007  0.248733E+007
  2039.31        933334.       0.462635E+011   5314.52       0.580966E+007  0.248142E+007
  2070.94        933334.       0.464433E+011   5312.14       0.580464E+007  0.247551E+007
  2102.56        933334.       0.466232E+011   5309.76       0.579961E+007  0.246959E+007
  2134.19        933334.       0.468031E+011   5307.37       0.579457E+007  0.246367E+007
  2165.81        933334.       0.469830E+011   5304.97       0.578954E+007  0.245774E+007
  2197.44        933334.       0.471629E+011   5302.58       0.578449E+007  0.245180E+007
  2229.06        933334.       0.473429E+011   5300.18       0.577945E+007  0.244585E+007
  2260.69        933334.       0.475228E+011   5297.78       0.577440E+007  0.243990E+007
  2292.32        933334.       0.477028E+011   5295.37       0.576934E+007  0.243394E+007
  2323.94        933334.       0.478827E+011   5292.96       0.576428E+007  0.242797E+007
  2355.57        933334.       0.480626E+011   5290.55       0.575922E+007  0.242200E+007
  2387.19        933334.       0.482426E+011   5288.13       0.575415E+007  0.241602E+007
  2418.82        933334.       0.484225E+011   5285.71       0.574908E+007  0.241003E+007
  2450.44        933334.       0.486024E+011   5283.29       0.574399E+007  0.240404E+007
  2482.07        933334.       0.487823E+011   5280.87       0.573893E+007  0.239804E+007
  2513.69        933334.       0.489621E+011   5278.44       0.573385E+007  0.239204E+007
  2545.32        933334.       0.491420E+011   5276.01       0.572876E+007  0.238602E+007
  2576.95        933334.       0.493218E+011   5273.57       0.572365E+007  0.238001E+007
  2608.57        933334.       0.495016E+011   5271.14       0.571858E+007  0.237398E+007
  2640.20        933334.       0.496814E+011   5268.70       0.571348E+007  0.236795E+007
