|6.6.6
primRef_quadrant1_1.tab                                                                             
           2
T(K)    
   1533.3000000000000     
   31.625641025641023     
          40
P(bar)  
   1.0000000000000000     
   11965.794871794871     
          40
           6
T(K)           P(bar)         mode           rho,kg/m3      Ks,bar         Gs,bar        
  1533.30        1.00000      -0.350329E+011   3056.62        818965.        483626.     
  1564.93        1.00000      -0.348848E+011   3053.95        815615.        480051.     
  1596.55        1.00000      -0.347363E+011   3051.24        812219.        476465.     
  1628.18        1.00000      -0.345874E+011   3048.50        808776.        472865.     
  1659.80        1.00000      -0.361432E+011   3199.26        671178.        527738.     
  1691.43        1.00000      -0.359534E+011   3193.69        659585.        523326.     
  1723.05        1.00000      -0.357620E+011   3187.99        647800.        518885.     
  1754.68        1.00000      -0.355686E+011   3182.14        635810.        514412.     
  1786.31        1.00000      -0.353734E+011   3176.13        623601.        509903.     
  1817.93        1.00000      -0.351760E+011   3169.94        611159.        505356.     
  1849.56        1.00000      -0.349763E+011   3163.57        598464.        500769.     
  1881.18        1.00000      -0.347742E+011   3157.01        585496.        496137.     
  1912.81        1.00000      -0.345693E+011   3150.22        572233.        491455.     
  1944.43        1.00000      -0.343615E+011   3143.20        558647.        486720.     
  1976.06        1.00000      -0.341505E+011   3135.92        544708.        481925.     
  2007.68        1.00000      -0.339359E+011   3128.36        530377.        477064.     
  2039.31        1.00000      -0.337173E+011   3120.49        515612.        472129.     
  2070.94        1.00000      -0.334941E+011   3112.26        500366.        467110.     
  2102.56        1.00000      -0.332659E+011   3103.63        484551.        461995.     
  2134.19        1.00000      -0.330318E+011   3094.55        468108.        456770.     
  2165.81        1.00000      -0.327909E+011   3084.95        451035.        451416.     
  2197.44        1.00000      -0.325419E+011   3074.73        432865.        445910.     
  2229.06        1.00000      -0.322832E+011   3063.77        413741.        440220.     
  2260.69        1.00000      -0.320125E+011   3051.91        393288.        434302.     
  2292.32        1.00000      -0.317265E+011   3038.91        371111.        428090.     
  2323.94        1.00000      -0.314198E+011   3024.36        346506.        421482.     
  2355.57        1.00000      -0.310831E+011   3007.60        318504.        414298.     
  2387.19        1.00000      -0.306969E+011   2987.22        284191.        406158.     
  2418.82        1.00000      -0.301997E+011   2958.78        236118.        395871.     
  2450.44        1.00000      -0.304882E+011   2960.23        686931.        371627.     
  2482.07        1.00000      -0.303146E+011   2955.70        678935.        367103.     
  2513.69        1.00000      -0.301382E+011   2950.98        670046.        362452.     
  2545.32        1.00000      -0.299585E+011   2946.03        659901.        357638.     
  2576.95        1.00000      -0.297745E+011   2940.81        647866.        352605.     
  2608.57        1.00000      -0.295846E+011   2935.19        632686.        347258.     
  2640.20        1.00000      -0.293856E+011   2928.99        611339.        341395.     
  2671.82        1.00000      -0.291678E+011   2921.60        573021.        334426.     
  2703.45        1.00000      -0.302366E+011   3071.39        690122.        437733.     
  2735.07        1.00000      -0.300279E+011   3064.29        682873.        431652.     
  2766.70        1.00000      -0.298184E+011   3057.12        675928.        425539.     
  1533.30        11966.8      -0.363785E+011   3273.92        817060.        566764.     
  1564.93        11966.8      -0.362051E+011   3269.65        807129.        562623.     
  1596.55        11966.8      -0.360308E+011   3265.32        797094.        558468.     
  1628.18        11966.8      -0.358557E+011   3260.90        786950.        554299.     
  1659.80        11966.8      -0.356797E+011   3256.40        776692.        550114.     
  1691.43        11966.8      -0.355027E+011   3251.82        766316.        545913.     
  1723.05        11966.8      -0.353247E+011   3247.16        755816.        541696.     
  1754.68        11966.8      -0.351457E+011   3242.40        745187.        537462.     
  1786.31        11966.8      -0.349656E+011   3237.54        734417.        533209.     
  1817.93        11966.8      -0.347843E+011   3232.59        723516.        528936.     
  1849.56        11966.8      -0.346018E+011   3227.52        712459.        524642.     
  1881.18        11966.8      -0.344181E+011   3222.35        701246.        520326.     
  1912.81        11966.8      -0.342329E+011   3217.06        689865.        515986.     
  1944.43        11966.8      -0.340464E+011   3211.64        678307.        511621.     
  1976.06        11966.8      -0.338582E+011   3206.09        666563.        507228.     
  2007.68        11966.8      -0.336685E+011   3200.39        654618.        502806.     
  2039.31        11966.8      -0.334769E+011   3194.55        642461.        498353.     
  2070.94        11966.8      -0.332835E+011   3188.54        630074.        493865.     
  2102.56        11966.8      -0.330879E+011   3182.36        617442.        489340.     
  2134.19        11966.8      -0.328902E+011   3176.00        604545.        484775.     
  2165.81        11966.8      -0.326900E+011   3169.43        591360.        480165.     
  2197.44        11966.8      -0.324872E+011   3162.64        577870.        475506.     
  2229.06        11966.8      -0.322815E+011   3155.60        564018.        470794.     
  2260.69        11966.8      -0.320725E+011   3148.31        549795.        466021.     
  2292.32        11966.8      -0.318600E+011   3140.72        535151.        461181.     
  2323.94        11966.8      -0.316434E+011   3132.81        520032.        456266.     
  2355.57        11966.8      -0.314223E+011   3124.53        504376.        451265.     
  2387.19        11966.8      -0.311960E+011   3115.83        488123.        446165.     
  2418.82        11966.8      -0.309637E+011   3106.66        471152.        440950.     
  2450.44        11966.8      -0.307243E+011   3096.93        453360.        435601.     
  2482.07        11966.8      -0.304766E+011   3086.54        434530.        430088.     
  2513.69        11966.8      -0.302186E+011   3075.35        414470.        424377.     
  2545.32        11966.8      -0.299475E+011   3063.16        392818.        418413.     
  2576.95        11966.8      -0.296594E+011   3049.66        369028.        412114.     
  2608.57        11966.8      -0.293474E+011   3034.33        342162.        405345.     
  2640.20        11966.8      -0.289982E+011   3016.19        310355.        397841.     
  2671.82        11966.8      -0.285785E+011   2992.76        268723.        388932.     
  2703.45        11966.8      -0.278490E+011   2946.35        188825.        373800.     
  2735.07        11966.8      -0.296558E+011   3126.34        768178.        463449.     
  2766.70        11966.8      -0.294558E+011   3119.89        761532.        457606.     
  1533.30        23932.6      -0.357746E+011   3321.75        913637.        586688.     
  1564.93        23932.6      -0.356081E+011   3318.05        904414.        582650.     
  1596.55        23932.6      -0.354411E+011   3314.30        895115.        578602.     
  1628.18        23932.6      -0.352736E+011   3310.50        885735.        574545.     
  1659.80        23932.6      -0.351054E+011   3306.64        876271.        570480.     
  1691.43        23932.6      -0.349366E+011   3302.72        866725.        566404.     
  1723.05        23932.6      -0.347672E+011   3298.74        857090.        562318.     
  1754.68        23932.6      -0.345971E+011   3294.70        847364.        558222.     
  1786.31        23932.6      -0.344263E+011   3290.59        837544.        554116.     
  1817.93        23932.6      -0.342548E+011   3286.42        827626.        549997.     
  1849.56        23932.6      -0.340826E+011   3282.17        817606.        545867.     
  1881.18        23932.6      -0.339096E+011   3277.86        807481.        541724.     
  1912.81        23932.6      -0.337358E+011   3273.46        797245.        537568.     
  1944.43        23932.6      -0.335611E+011   3268.99        786895.        533398.     
  1976.06        23932.6      -0.333856E+011   3264.43        776425.        529213.     
  2007.68        23932.6      -0.332091E+011   3259.79        765825.        525013.     
  2039.31        23932.6      -0.330316E+011   3255.06        755101.        520796.     
  2070.94        23932.6      -0.328531E+011   3250.23        744236.        516561.     
  2102.56        23932.6      -0.326735E+011   3245.30        733225.        512308.     
  2134.19        23932.6      -0.324928E+011   3240.26        722061.        508035.     
  2165.81        23932.6      -0.323108E+011   3235.11        710735.        503741.     
  2197.44        23932.6      -0.321276E+011   3229.85        699238.        499423.     
  2229.06        23932.6      -0.319429E+011   3224.46        687558.        495082.     
  2260.69        23932.6      -0.317568E+011   3218.93        675707.        490714.     
  2292.32        23932.6      -0.315690E+011   3213.27        663606.        486317.     
  2323.94        23932.6      -0.313796E+011   3207.45        651306.        481889.     
  2355.57        23932.6      -0.311883E+011   3201.47        638768.        477428.     
  2387.19        23932.6      -0.309950E+011   3195.31        625974.        472931.     
  2418.82        23932.6      -0.307995E+011   3188.97        612902.        468394.     
  2450.44        23932.6      -0.306017E+011   3182.42        599529.        463812.     
  2482.07        23932.6      -0.304013E+011   3175.65        585825.        459183.     
  2513.69        23932.6      -0.301980E+011   3168.63        571758.        454499.     
  2545.32        23932.6      -0.299915E+011   3161.34        557288.        449756.     
  2576.95        23932.6      -0.297816E+011   3153.76        542369.        444945.     
  2608.57        23932.6      -0.295676E+011   3145.84        526943.        440059.     
  2640.20        23932.6      -0.293491E+011   3137.55        510941.        435085.     
  2671.82        23932.6      -0.291254E+011   3128.83        494275.        430010.     
  2703.45        23932.6      -0.288956E+011   3119.61        476831.        424817.     
  2735.07        23932.6      -0.286587E+011   3109.81        458460.        419484.     
  2766.70        23932.6      -0.284132E+011   3099.32        438961.        413980.     
  1533.30        35898.4      -0.351205E+011   3367.11       0.101015E+007   606942.     
  1564.93        35898.4      -0.349588E+011   3363.82       0.100141E+007   602960.     
  1596.55        35898.4      -0.347967E+011   3360.50        992605.        598973.     
  1628.18        35898.4      -0.346342E+011   3357.14        983744.        594980.     
  1659.80        35898.4      -0.344713E+011   3353.74        974812.        590981.     
  1691.43        35898.4      -0.343080E+011   3350.29        965820.        586976.     
  1723.05        35898.4      -0.341442E+011   3346.79        956761.        582964.     
  1754.68        35898.4      -0.339800E+011   3343.26        947633.        578946.     
  1786.31        35898.4      -0.337942E+011   3337.78        934501.        573369.     
  1817.93        35898.4      -0.336292E+011   3334.15        925289.        569344.     
  1849.56        35898.4      -0.334638E+011   3330.48        916003.        565313.     
  1881.18        35898.4      -0.332978E+011   3326.76        906645.        561273.     
  1912.81        35898.4      -0.331313E+011   3322.98        897197.        557226.     
  1944.43        35898.4      -0.329643E+011   3319.14        887672.        553171.     
  1976.06        35898.4      -0.327967E+011   3315.25        878062.        549107.     
  2007.68        35898.4      -0.326286E+011   3311.30        868363.        545034.     
  2039.31        35898.4      -0.324598E+011   3307.29        858574.        540951.     
  2070.94        35898.4      -0.322904E+011   3303.21        848690.        536859.     
  2102.56        35898.4      -0.321203E+011   3299.07        838707.        532756.     
  2134.19        35898.4      -0.319496E+011   3294.86        828622.        528642.     
  2165.81        35898.4      -0.317781E+011   3290.57        818430.        524517.     
  2197.44        35898.4      -0.316059E+011   3286.21        808127.        520379.     
  2229.06        35898.4      -0.314328E+011   3281.78        797708.        516228.     
  2260.69        35898.4      -0.312590E+011   3277.26        787175.        512063.     
  2292.32        35898.4      -0.310842E+011   3272.65        776492.        507884.     
  2323.94        35898.4      -0.309086E+011   3267.95        765696.        503688.     
  2355.57        35898.4      -0.307319E+011   3263.16        754753.        499477.     
  2387.19        35898.4      -0.305542E+011   3258.27        743661.        495247.     
  2418.82        35898.4      -0.303755E+011   3253.27        732414.        490998.     
  2450.44        35898.4      -0.301955E+011   3248.16        721000.        486729.     
  2482.07        35898.4      -0.300143E+011   3242.94        709412.        482438.     
  2513.69        35898.4      -0.298318E+011   3237.59        697637.        478124.     
  2545.32        35898.4      -0.296479E+011   3232.11        685663.        473784.     
  2576.95        35898.4      -0.294624E+011   3226.48        673477.        469416.     
