|6.6.6
primRef_quadrant3_1.tab                                                                             
           2
T(K)    
   300.00000000000000     
   31.623076923076923     
          40
P(bar)  
   466667.00000000000     
   11965.820512820514     
          40
           6
T(K)           P(bar)         mode           rho,kg/m3      Ks,bar         Gs,bar        
  300.000        466667.      -0.104694E+011   4962.27       0.438188E+007  0.227135E+007
  331.623        466667.      -0.103583E+011   4960.60       0.437870E+007  0.226755E+007
  363.246        466667.      -0.102374E+011   4958.78       0.437524E+007  0.226341E+007
  394.869        466667.      -0.101079E+011   4956.83       0.437152E+007  0.225897E+007
  426.492        466667.      -0.997136E+010   4954.77       0.436760E+007  0.225429E+007
  458.115        466667.      -0.982868E+010   4952.62       0.436350E+007  0.224940E+007
  489.738        466667.      -0.968080E+010   4950.38       0.435925E+007  0.224432E+007
  521.362        466667.      -0.952847E+010   4948.08       0.435487E+007  0.223909E+007
  552.985        466667.      -0.937231E+010   4945.71       0.435037E+007  0.223372E+007
  584.608        466667.      -0.921283E+010   4943.29       0.434577E+007  0.222824E+007
  616.231        466667.      -0.905048E+010   4940.82       0.434109E+007  0.222264E+007
  647.854        466667.      -0.888562E+010   4938.31       0.433633E+007  0.221696E+007
  679.477        466667.      -0.871855E+010   4935.77       0.433150E+007  0.221119E+007
  711.100        466667.      -0.854956E+010   4933.18       0.432661E+007  0.220535E+007
  742.723        466667.      -0.837885E+010   4930.57       0.432166E+007  0.219944E+007
  774.346        466667.      -0.820662E+010   4927.94       0.431667E+007  0.219348E+007
  805.969        466667.      -0.803305E+010   4925.27       0.431164E+007  0.218746E+007
  837.592        466667.      -0.785828E+010   4922.59       0.430656E+007  0.218139E+007
  869.215        466667.      -0.768243E+010   4919.88       0.430145E+007  0.217528E+007
  900.838        466667.      -0.750561E+010   4917.16       0.429630E+007  0.216912E+007
  932.462        466667.      -0.732792E+010   4914.41       0.429113E+007  0.216293E+007
  964.085        466667.      -0.714944E+010   4911.65       0.428593E+007  0.215670E+007
  995.708        466667.      -0.697026E+010   4908.88       0.428070E+007  0.215044E+007
  1027.33        466667.      -0.679042E+010   4906.09       0.427544E+007  0.214415E+007
  1058.95        466667.      -0.661001E+010   4903.28       0.427017E+007  0.213783E+007
  1090.58        466667.      -0.642906E+010   4900.47       0.426487E+007  0.213148E+007
  1122.20        466667.      -0.624763E+010   4897.64       0.425955E+007  0.212511E+007
  1153.82        466667.      -0.606575E+010   4894.80       0.425422E+007  0.211871E+007
  1185.45        466667.      -0.588346E+010   4891.94       0.424886E+007  0.211230E+007
  1217.07        466667.      -0.570081E+010   4889.08       0.424349E+007  0.210586E+007
  1248.69        466667.      -0.551781E+010   4886.21       0.423811E+007  0.209939E+007
  1280.32        466667.      -0.533451E+010   4883.32       0.423271E+007  0.209291E+007
  1311.94        466667.      -0.515091E+010   4880.43       0.422729E+007  0.208641E+007
  1343.56        466667.      -0.496705E+010   4877.53       0.422187E+007  0.207990E+007
  1375.18        466667.      -0.478295E+010   4874.62       0.421643E+007  0.207336E+007
  1406.81        466667.      -0.459862E+010   4871.70       0.421097E+007  0.206681E+007
  1438.43        466667.      -0.441409E+010   4868.77       0.420551E+007  0.206024E+007
  1470.05        466667.      -0.422937E+010   4865.83       0.420003E+007  0.205365E+007
  1501.68        466667.      -0.404447E+010   4862.88       0.419454E+007  0.204705E+007
  1533.30        466667.      -0.385942E+010   4859.93       0.418904E+007  0.204043E+007
  300.000        478633.      -0.930337E+010   4975.82       0.442610E+007  0.228556E+007
  331.623        478633.      -0.919287E+010   4974.17       0.442294E+007  0.228179E+007
  363.246        478633.      -0.907241E+010   4972.37       0.441950E+007  0.227767E+007
  394.869        478633.      -0.894350E+010   4970.44       0.441581E+007  0.227327E+007
  426.492        478633.      -0.880740E+010   4968.40       0.441191E+007  0.226862E+007
  458.115        478633.      -0.866519E+010   4966.27       0.440783E+007  0.226375E+007
  489.738        478633.      -0.851777E+010   4964.05       0.440360E+007  0.225871E+007
  521.362        478633.      -0.836588E+010   4961.77       0.439924E+007  0.225350E+007
  552.985        478633.      -0.821014E+010   4959.42       0.439476E+007  0.224816E+007
  584.608        478633.      -0.805108E+010   4957.02       0.439018E+007  0.224270E+007
  616.231        478633.      -0.788913E+010   4954.57       0.438552E+007  0.223714E+007
  647.854        478633.      -0.772465E+010   4952.08       0.438078E+007  0.223148E+007
  679.477        478633.      -0.755797E+010   4949.56       0.437597E+007  0.222574E+007
  711.100        478633.      -0.738934E+010   4947.00       0.437110E+007  0.221993E+007
  742.723        478633.      -0.721900E+010   4944.41       0.436618E+007  0.221405E+007
  774.346        478633.      -0.704713E+010   4941.79       0.436121E+007  0.220811E+007
  805.969        478633.      -0.687391E+010   4939.15       0.435619E+007  0.220212E+007
  837.592        478633.      -0.669949E+010   4936.49       0.435114E+007  0.219608E+007
  869.215        478633.      -0.652398E+010   4933.80       0.434605E+007  0.219000E+007
  900.838        478633.      -0.634749E+010   4931.10       0.434092E+007  0.218387E+007
  932.462        478633.      -0.617014E+010   4928.38       0.433577E+007  0.217770E+007
  964.085        478633.      -0.599199E+010   4925.64       0.433058E+007  0.217151E+007
  995.708        478633.      -0.581313E+010   4922.88       0.432537E+007  0.216527E+007
  1027.33        478633.      -0.563363E+010   4920.12       0.432014E+007  0.215901E+007
  1058.95        478633.      -0.545354E+010   4917.33       0.431489E+007  0.215272E+007
  1090.58        478633.      -0.527291E+010   4914.54       0.430961E+007  0.214640E+007
  1122.20        478633.      -0.509179E+010   4911.73       0.430431E+007  0.214006E+007
  1153.82        478633.      -0.491023E+010   4908.91       0.429900E+007  0.213369E+007
  1185.45        478633.      -0.472826E+010   4906.08       0.429367E+007  0.212730E+007
  1217.07        478633.      -0.454592E+010   4903.24       0.428832E+007  0.212089E+007
  1248.69        478633.      -0.436324E+010   4900.39       0.428296E+007  0.211446E+007
  1280.32        478633.      -0.418025E+010   4897.53       0.427758E+007  0.210801E+007
  1311.94        478633.      -0.399697E+010   4894.66       0.427218E+007  0.210154E+007
  1343.56        478633.      -0.381342E+010   4891.78       0.426678E+007  0.209505E+007
  1375.18        478633.      -0.362963E+010   4888.89       0.426136E+007  0.208854E+007
  1406.81        478633.      -0.344562E+010   4886.00       0.425593E+007  0.208202E+007
  1438.43        478633.      -0.326140E+010   4883.09       0.425048E+007  0.207548E+007
