|6.6.6
primRef_quadrant2_1.tab                                                                             
           2
T(K)    
   2766.6999999999998     
   31.623076923076926     
          40
P(bar)  
   1.0000000000000000     
   11965.794871794871     
          40
           6
T(K)           P(bar)         mode           rho,kg/m3      Ks,bar         Gs,bar        
  2766.70        1.00000      -0.298184E+011   3057.12        675928.        425539.     
  2798.32        1.00000      -0.296082E+011   3049.87        668962.        419394.     
  2829.95        1.00000      -0.293971E+011   3042.55        661975.        413214.     
  2861.57        1.00000      -0.291853E+011   3035.14        654966.        406999.     
  2893.19        1.00000      -0.289726E+011   3027.64        647936.        400748.     
  2924.82        1.00000      -0.287590E+011   3020.06        640883.        394460.     
  2956.44        1.00000      -0.285444E+011   3012.39        633807.        388133.     
  2988.06        1.00000      -0.283290E+011   3004.63        626708.        381766.     
  3019.68        1.00000      -0.281126E+011   2996.77        619510.        375359.     
  3051.31        1.00000      -0.278951E+011   2988.81        612435.        368909.     
  3082.93        1.00000      -0.276767E+011   2980.75        605261.        362415.     
  3114.55        1.00000      -0.274571E+011   2972.58        598061.        355875.     
  3146.18        1.00000      -0.272364E+011   2964.31        590833.        349289.     
  3177.80        1.00000      -0.270146E+011   2955.92        583579.        342653.     
  3209.42        1.00000      -0.267915E+011   2947.42        576361.        335967.     
  3241.05        1.00000      -0.265672E+011   2938.80        568982.        329228.     
  3272.67        1.00000      -0.263416E+011   2930.05        561638.        322434.     
  3304.29        1.00000      -0.261146E+011   2921.17        554266.        315583.     
  3335.92        1.00000      -0.258862E+011   2912.16        546653.        308673.     
  3367.54        1.00000      -0.256563E+011   2903.01        539420.        301700.     
  3399.16        1.00000      -0.254249E+011   2893.71        531946.        294663.     
  3430.78        1.00000      -0.251919E+011   2884.26        524338.        287558.     
  3462.41        1.00000      -0.249572E+011   2874.65        516893.        280381.     
  3494.03        1.00000      -0.247207E+011   2864.88        509310.        273131.     
  3525.65        1.00000      -0.244824E+011   2854.93        501686.        265802.     
  3557.28        1.00000      -0.242422E+011   2844.80        494025.        258391.     
  3588.90        1.00000      -0.239999E+011   2834.49        486321.        250893.     
  3620.52        1.00000      -0.237555E+011   2823.97        478573.        243304.     
  3652.15        1.00000      -0.235088E+011   2813.25        470781.        235618.     
  3683.77        1.00000      -0.232598E+011   2802.31        462944.        227830.     
  3715.39        1.00000      -0.230083E+011   2791.14        455053.        219934.     
  3747.02        1.00000      -0.227542E+011   2779.73        447114.        211922.     
  3778.64        1.00000      -0.224973E+011   2768.06        438661.        203788.     
  3810.26        1.00000      -0.222374E+011   2756.13        431578.        195522.     
  3841.88        1.00000      -0.219744E+011   2743.90        422977.        187116.     
  3873.51        1.00000      -0.217081E+011   2731.37        414811.        178558.     
  3905.13        1.00000      -0.214383E+011   2718.52        406590.        169838.     
  3936.75        1.00000      -0.211647E+011   2705.32        398302.        160942.     
  3968.38        1.00000      -0.208870E+011   2691.76        389944.        151856.     
  4000.00        1.00000      -0.206051E+011   2677.80        380093.        142561.     
  2766.70        11966.8      -0.294558E+011   3119.89        761532.        457606.     
  2798.32        11966.8      -0.292553E+011   3113.38        754866.        451737.     
  2829.95        11966.8      -0.290542E+011   3106.81        748199.        445842.     
  2861.57        11966.8      -0.288526E+011   3100.18        741510.        439921.     
  2893.19        11966.8      -0.286504E+011   3093.49        734807.        433973.     
  2924.82        11966.8      -0.284477E+011   3086.74        728088.        427997.     
  2956.44        11966.8      -0.282443E+011   3079.92        721355.        421992.     
  2988.06        11966.8      -0.280403E+011   3073.03        714605.        415958.     
  3019.68        11966.8      -0.278357E+011   3066.08        707840.        409893.     
  3051.31        11966.8      -0.276305E+011   3059.05        701059.        403798.     
  3082.93        11966.8      -0.274245E+011   3051.95        693904.        397671.     
  3114.55        11966.8      -0.272179E+011   3044.78        686546.        391511.     
  3146.18        11966.8      -0.270105E+011   3037.54        680615.        385317.     
  3177.80        11966.8      -0.268025E+011   3030.21        673764.        379088.     
  3209.42        11966.8      -0.265936E+011   3022.81        666898.        372824.     
  3241.05        11966.8      -0.263840E+011   3015.32        660480.        366523.     
  3272.67        11966.8      -0.261736E+011   3007.75        653108.        360184.     
  3304.29        11966.8      -0.259623E+011   3000.09        646185.        353806.     
  3335.92        11966.8      -0.257502E+011   2992.34        639243.        347387.     
  3367.54        11966.8      -0.255372E+011   2984.50        632282.        340926.     
  3399.16        11966.8      -0.253233E+011   2976.57        625300.        334422.     
  3430.78        11966.8      -0.251084E+011   2968.53        618298.        327873.     
  3462.41        11966.8      -0.248925E+011   2960.40        611274.        321277.     
  3494.03        11966.8      -0.246756E+011   2952.16        604228.        314634.     
  3525.65        11966.8      -0.244577E+011   2943.81        597162.        307940.     
  3557.28        11966.8      -0.242387E+011   2935.35        590071.        301195.     
  3588.90        11966.8      -0.240186E+011   2926.78        582960.        294395.     
  3620.52        11966.8      -0.237972E+011   2918.09        573544.        287540.     
  3652.15        11966.8      -0.235747E+011   2909.27        568662.        280626.     
  3683.77        11966.8      -0.233509E+011   2900.32        561477.        273652.     
  3715.39        11966.8      -0.231258E+011   2891.25        554267.        266614.     
  3747.02        11966.8      -0.228993E+011   2882.03        547030.        259509.     
  3778.64        11966.8      -0.226714E+011   2872.68        539902.        252336.     
  3810.26        11966.8      -0.224420E+011   2863.17        532480.        245089.     
  3841.88        11966.8      -0.222110E+011   2853.51        525226.        237767.     
  3873.51        11966.8      -0.219785E+011   2843.69        517578.        230364.     
  3905.13        11966.8      -0.217442E+011   2833.70        510444.        222878.     
  3936.75        11966.8      -0.215083E+011   2823.54        503038.        215303.     
  3968.38        11966.8      -0.212704E+011   2813.20        495606.        207635.     
  4000.00        11966.8      -0.210307E+011   2802.67        483408.        199868.     
  2766.70        23932.6      -0.284132E+011   3099.32        438961.        413980.     
  2798.32        23932.6      -0.281569E+011   3087.96        418044.        408264.     
  2829.95        23932.6      -0.278869E+011   3075.51        395274.        402273.     
  2861.57        23932.6      -0.275983E+011   3061.60        369948.        395909.     
  2893.19        23932.6      -0.272827E+011   3045.57        340787.        388997.     
  2924.82        23932.6      -0.269218E+011   3026.03        304982.        381165.     
  2956.44        23932.6      -0.264579E+011   2998.57        253470.        371212.     
  2988.06        23932.6      -0.276252E+011   3133.39        799300.        447098.     
  3019.68        23932.6      -0.274290E+011   3127.09        792902.        441284.     
  3051.31        23932.6      -0.272323E+011   3120.74        786381.        435446.     
  3082.93        23932.6      -0.270352E+011   3114.34        779083.        429583.     
  3114.55        23932.6      -0.268376E+011   3107.88        773303.        423695.     
  3146.18        23932.6      -0.266396E+011   3101.36        766747.        417781.     
  3177.80        23932.6      -0.264410E+011   3094.79        760179.        411841.     
  3209.42        23932.6      -0.262419E+011   3088.15        753599.        405873.     
  3241.05        23932.6      -0.260424E+011   3081.46        747006.        399877.     
  3272.67        23932.6      -0.258422E+011   3074.70        740402.        393853.     
  3304.29        23932.6      -0.256416E+011   3067.88        733723.        387800.     
  3335.92        23932.6      -0.254403E+011   3060.99        727154.        381716.     
  3367.54        23932.6      -0.252385E+011   3054.04        720511.        375602.     
  3399.16        23932.6      -0.250361E+011   3047.02        715191.        369456.     
  3430.78        23932.6      -0.248330E+011   3039.92        707186.        363276.     
  3462.41        23932.6      -0.246294E+011   3032.76        700502.        357064.     
  3494.03        23932.6      -0.244251E+011   3025.52        693806.        350816.     
  3525.65        23932.6      -0.242201E+011   3018.21        687096.        344533.     
  3557.28        23932.6      -0.240144E+011   3010.82        680371.        338213.     
  3588.90        23932.6      -0.238080E+011   3003.35        673631.        331855.     
  3620.52        23932.6      -0.236009E+011   2995.80        666879.        325458.     
  3652.15        23932.6      -0.233931E+011   2988.16        660112.        319020.     
  3683.77        23932.6      -0.231844E+011   2980.44        653326.        312540.     
  3715.39        23932.6      -0.229750E+011   2972.63        646530.        306017.     
  3747.02        23932.6      -0.227647E+011   2964.73        639816.        299450.     
  3778.64        23932.6      -0.225536E+011   2956.73        633009.        292836.     
  3810.26        23932.6      -0.223416E+011   2948.64        626039.        286174.     
  3841.88        23932.6      -0.221287E+011   2940.44        619176.        279462.     
  3873.51        23932.6      -0.219148E+011   2932.15        612300.        272698.     
  3905.13        23932.6      -0.217000E+011   2923.74        605406.        265880.     
  3936.75        23932.6      -0.214842E+011   2915.23        598492.        259007.     
  3968.38        23932.6      -0.212673E+011   2906.61        593008.        252075.     
  4000.00        23932.6      -0.210494E+011   2897.87        584622.        245083.     
  2766.70        35898.4      -0.283099E+011   3189.12        594875.        442474.     
  2798.32        35898.4      -0.281095E+011   3182.14        580618.        437826.     
  2829.95        35898.4      -0.279060E+011   3174.90        565946.        433119.     
  2861.57        35898.4      -0.278703E+011   3210.43        906245.        498260.     
  2893.19        35898.4      -0.276817E+011   3204.80        900000.        492712.     
  2924.82        35898.4      -0.274927E+011   3199.14        893672.        487147.     
  2956.44        35898.4      -0.273035E+011   3193.43        887373.        481563.     
  2988.06        35898.4      -0.271139E+011   3187.68        881067.        475960.     
  3019.68        35898.4      -0.269241E+011   3181.89        874743.        470338.     
  3051.31        35898.4      -0.267339E+011   3176.05        868429.        464697.     
  3082.93        35898.4      -0.265434E+011   3170.18        862098.        459035.     
  3114.55        35898.4      -0.263525E+011   3164.26        855759.        453354.     
  3146.18        35898.4      -0.261614E+011   3158.29        849411.        447651.     
  3177.80        35898.4      -0.259698E+011   3152.28        843053.        441928.     
  3209.42        35898.4      -0.257779E+011   3146.22        836689.        436182.     
  3241.05        35898.4      -0.255857E+011   3140.12        830316.        430415.     
  3272.67        35898.4      -0.253931E+011   3133.97        823934.        424625.     
  3304.29        35898.4      -0.252001E+011   3127.76        817543.        418812.     
  3335.92        35898.4      -0.250067E+011   3121.51        811144.        412975.     
  3367.54        35898.4      -0.248129E+011   3115.21        804735.        407114.     
  3399.16        35898.4      -0.246187E+011   3108.85        798317.        401228.     
