|6.6.6
primRef_quadrant4_1.tab                                                                             
           2
T(K)    
   1533.3000000000000     
   31.625641025641023     
          40
P(bar)  
   466667.00000000000     
   11965.820512820514     
          40
           6
T(K)           P(bar)         mode           rho,kg/m3      Ks,bar         Gs,bar        
  1533.30        466667.      -0.385942E+010   4859.93       0.418904E+007  0.204043E+007
  1564.93        466667.      -0.367419E+010   4856.97       0.418353E+007  0.203380E+007
  1596.55        466667.      -0.348883E+010   4854.00       0.417801E+007  0.202716E+007
  1628.18        466667.      -0.330335E+010   4851.03       0.417248E+007  0.202050E+007
  1659.80        466667.      -0.311774E+010   4848.04       0.416694E+007  0.201382E+007
  1691.43        466667.      -0.293203E+010   4845.05       0.416139E+007  0.200714E+007
  1723.05        466667.      -0.274622E+010   4842.05       0.415583E+007  0.200044E+007
  1754.68        466667.      -0.256032E+010   4839.05       0.415026E+007  0.199372E+007
  1786.31        466667.      -0.237433E+010   4836.04       0.414468E+007  0.198699E+007
  1817.93        466667.      -0.218827E+010   4833.02       0.413909E+007  0.198026E+007
  1849.56        466667.      -0.200213E+010   4829.99       0.413350E+007  0.197350E+007
  1881.18        466667.      -0.181593E+010   4826.96       0.412789E+007  0.196674E+007
  1912.81        466667.      -0.162967E+010   4823.92       0.412228E+007  0.195996E+007
  1944.43        466667.      -0.144335E+010   4820.87       0.411666E+007  0.195317E+007
  1976.06        466667.      -0.125699E+010   4817.82       0.411103E+007  0.194637E+007
  2007.68        466667.      -0.107058E+010   4814.76       0.410539E+007  0.193956E+007
  2039.31        466667.      -0.884130E+009   4811.69       0.409974E+007  0.193273E+007
  2070.94        466667.      -0.697643E+009   4808.62       0.409409E+007  0.192590E+007
  2102.56        466667.      -0.511122E+009   4805.54       0.408843E+007  0.191905E+007
  2134.19        466667.      -0.324572E+009   4802.46       0.408276E+007  0.191219E+007
  2165.81        466667.      -0.137995E+009   4799.36       0.407708E+007  0.190532E+007
  2197.44        466667.       0.486055E+008   4796.27       0.407139E+007  0.189843E+007
  2229.06        466667.       0.235226E+009   4793.16       0.406570E+007  0.189154E+007
  2260.69        466667.       0.421865E+009   4790.05       0.405999E+007  0.188463E+007
  2292.32        466667.       0.608519E+009   4786.93       0.405429E+007  0.187772E+007
  2323.94        466667.       0.795186E+009   4783.81       0.404855E+007  0.187079E+007
  2355.57        466667.       0.981864E+009   4780.67       0.404285E+007  0.186385E+007
  2387.19        466667.       0.116855E+010   4777.54       0.403712E+007  0.185689E+007
  2418.82        466667.       0.135524E+010   4774.39       0.403138E+007  0.184993E+007
  2450.44        466667.       0.154194E+010   4771.24       0.402563E+007  0.184296E+007
  2482.07        466667.       0.172864E+010   4768.09       0.401988E+007  0.183597E+007
  2513.69        466667.       0.191534E+010   4764.92       0.401411E+007  0.182897E+007
  2545.32        466667.       0.210204E+010   4761.75       0.400834E+007  0.182196E+007
