|6.6.6
primRef_quadrant0_1.tab                                                                             
           2
T(K)    
   300.00000000000000     
   31.623076923076923     
          40
P(bar)  
   1.0000000000000000     
   11965.794871794871     
          40
           6
T(K)           P(bar)         mode           rho,kg/m3      Ks,bar         Gs,bar        
  300.000        1.00000      -0.403600E+011   3140.54        922659.        611573.     
  331.623        1.00000      -0.402536E+011   3139.05        920816.        609010.     
  363.246        1.00000      -0.401419E+011   3137.48        918877.        606321.     
  394.869        1.00000      -0.400258E+011   3135.84        916856.        603531.     
  426.492        1.00000      -0.399062E+011   3134.15        914765.        600658.     
  458.115        1.00000      -0.397836E+011   3132.40        912614.        597715.     
  489.738        1.00000      -0.396585E+011   3130.61        910409.        594713.     
  521.362        1.00000      -0.395313E+011   3128.78        908156.        591662.     
  552.985        1.00000      -0.394023E+011   3126.92        905860.        588569.     
  584.608        1.00000      -0.392718E+011   3125.02        903525.        585438.     
  616.231        1.00000      -0.391399E+011   3123.10        901152.        582276.     
  647.854        1.00000      -0.390068E+011   3121.14        898744.        579085.     
  679.477        1.00000      -0.388726E+011   3119.16        896303.        575868.     
  711.100        1.00000      -0.387375E+011   3117.15        893830.        572629.     
  742.723        1.00000      -0.386015E+011   3115.12        891327.        569369.     
  774.346        1.00000      -0.384647E+011   3113.06        888794.        566091.     
  805.969        1.00000      -0.383272E+011   3110.98        886231.        562795.     
  837.592        1.00000      -0.381891E+011   3108.87        883640.        559483.     
  869.215        1.00000      -0.380503E+011   3106.74        881020.        556156.     
  900.838        1.00000      -0.379110E+011   3104.59        878373.        552815.     
  932.462        1.00000      -0.377711E+011   3102.42        875696.        549461.     
  964.085        1.00000      -0.376307E+011   3100.23        872992.        546094.     
  995.708        1.00000      -0.374899E+011   3098.01        870259.        542715.     
  1027.33        1.00000      -0.373486E+011   3095.77        867497.        539325.     
  1058.95        1.00000      -0.372068E+011   3093.50        864707.        535923.     
  1090.58        1.00000      -0.370647E+011   3091.22        861887.        532510.     
  1122.20        1.00000      -0.369221E+011   3088.91        859038.        529087.     
  1153.82        1.00000      -0.367791E+011   3086.58        856158.        525653.     
  1185.45        1.00000      -0.366357E+011   3084.22        853247.        522208.     
  1217.07        1.00000      -0.364919E+011   3081.84        850305.        518753.     
  1248.69        1.00000      -0.363477E+011   3079.44        847331.        515288.     
  1280.32        1.00000      -0.362031E+011   3077.01        844324.        511813.     
  1311.94        1.00000      -0.360582E+011   3074.56        841283.        508327.     
  1343.56        1.00000      -0.359129E+011   3072.08        838208.        504830.     
  1375.18        1.00000      -0.357672E+011   3069.57        835096.        501324.     
  1406.81        1.00000      -0.356211E+011   3067.04        831948.        497806.     
  1438.43        1.00000      -0.354746E+011   3064.48        828763.        494278.     
  1470.05        1.00000      -0.353278E+011   3061.89        825538.        490739.     
  1501.68        1.00000      -0.351805E+011   3059.27        822273.        487188.     
  1533.30        1.00000      -0.350329E+011   3056.62        818965.        483626.     
  300.000        11966.8      -0.424769E+011   3398.22       0.113788E+007   715854.     
  331.623        11966.8      -0.423571E+011   3396.16       0.113200E+007   712860.     
  363.246        11966.8      -0.422312E+011   3393.97       0.112581E+007   709716.     
  394.869        11966.8      -0.421003E+011   3391.69       0.111936E+007   706452.     
  426.492        11966.8      -0.419652E+011   3389.32       0.111269E+007   703089.     
  458.115        11966.8      -0.418267E+011   3386.86       0.110582E+007   699643.     
  489.738        11966.8      -0.416853E+011   3384.35       0.109879E+007   696130.     
  521.362        11966.8      -0.415413E+011   3381.76       0.109162E+007   692558.     
  552.985        11966.8      -0.413953E+011   3379.12       0.108432E+007   688936.     
  584.608        11966.8      -0.412473E+011   3376.43       0.107690E+007   685273.     
  616.231        11966.8      -0.410977E+011   3373.68       0.106937E+007   681572.     
  647.854        11966.8      -0.409467E+011   3370.89       0.106175E+007   677839.     
  679.477        11966.8      -0.407943E+011   3368.05       0.105403E+007   674077.     
  711.100        11966.8      -0.406408E+011   3365.16       0.104623E+007   670290.     
  742.723        11966.8      -0.404862E+011   3362.23       0.103834E+007   666480.     
  774.346        11966.8      -0.403305E+011   3359.26       0.103037E+007   662650.     
  805.969        11966.8      -0.401740E+011   3356.25       0.102233E+007   658801.     
  837.592        11966.8      -0.400166E+011   3353.19       0.101422E+007   654935.     
  869.215        11966.8      -0.398584E+011   3350.09       0.100603E+007   651052.     
  900.838        11966.8      -0.396994E+011   3346.94        997770.        647155.     
  932.462        11966.8      -0.395396E+011   3343.75        989440.        643244.     
  964.085        11966.8      -0.393792E+011   3340.52        981040.        639320.     
  995.708        11966.8      -0.392181E+011   3337.25        972570.        635384.     
  1027.33        11966.8      -0.390563E+011   3333.93        964030.        631435.     
  1058.95        11966.8      -0.388938E+011   3330.57        955420.        627475.     
  1090.58        11966.8      -0.387307E+011   3327.16        946740.        623504.     
  1122.20        11966.8      -0.385670E+011   3323.70        937988.        619521.     
  1153.82        11966.8      -0.384026E+011   3320.20        929163.        615529.     
  1185.45        11966.8      -0.382376E+011   3316.65        920266.        611525.     
  1217.07        11966.8      -0.380719E+011   3313.04        911294.        607511.     
  1248.69        11966.8      -0.379056E+011   3309.39        902245.        603486.     
  1280.32        11966.8      -0.377387E+011   3305.68        893119.        599451.     
  1311.94        11966.8      -0.375711E+011   3301.92        883914.        595405.     
  1343.56        11966.8      -0.374029E+011   3298.10        874627.        591348.     
  1375.18        11966.8      -0.372339E+011   3294.23        865257.        587280.     
  1406.81        11966.8      -0.370643E+011   3290.29        855800.        583201.     
  1438.43        11966.8      -0.368940E+011   3286.30        846255.        579110.     
  1470.05        11966.8      -0.367229E+011   3282.24        836619.        575007.     
  1501.68        11966.8      -0.365511E+011   3278.11        826888.        570892.     
  1533.30        11966.8      -0.363785E+011   3273.92        817060.        566764.     
  300.000        23932.6      -0.417498E+011   3435.74       0.122552E+007   735665.     
  331.623        23932.6      -0.416322E+011   3433.84       0.121981E+007   732692.     
  363.246        23932.6      -0.415085E+011   3431.84       0.121378E+007   729570.     
  394.869        23932.6      -0.413798E+011   3429.73       0.120751E+007   726326.     
  426.492        23932.6      -0.412471E+011   3427.55       0.120102E+007   722983.     
  458.115        23932.6      -0.411110E+011   3425.30       0.119434E+007   719558.     
  489.738        23932.6      -0.409720E+011   3422.99       0.118751E+007   716065.     
  521.362        23932.6      -0.408306E+011   3420.62       0.118054E+007   712514.     
  552.985        23932.6      -0.406871E+011   3418.20       0.117345E+007   708914.     
  584.608        23932.6      -0.405418E+011   3415.73       0.116625E+007   705273.     
  616.231        23932.6      -0.403949E+011   3413.22       0.115895E+007   701595.     
  647.854        23932.6      -0.402466E+011   3410.66       0.115156E+007   697885.     
  679.477        23932.6      -0.400971E+011   3408.07       0.114408E+007   694148.     
  711.100        23932.6      -0.399465E+011   3405.44       0.113652E+007   690387.     
  742.723        23932.6      -0.397948E+011   3402.77       0.112889E+007   686603.     
  774.346        23932.6      -0.396423E+011   3400.06       0.112119E+007   682801.     
  805.969        23932.6      -0.394889E+011   3397.32       0.111343E+007   678981.     
  837.592        23932.6      -0.393347E+011   3394.54       0.110559E+007   675145.     
  869.215        23932.6      -0.391798E+011   3391.72       0.109770E+007   671294.     
  900.838        23932.6      -0.390242E+011   3388.87       0.108974E+007   667431.     
  932.462        23932.6      -0.388680E+011   3385.99       0.108172E+007   663555.     
  964.085        23932.6      -0.387111E+011   3383.07       0.107364E+007   659667.     
  995.708        23932.6      -0.385537E+011   3380.11       0.106550E+007   655769.     
  1027.33        23932.6      -0.383957E+011   3377.12       0.105731E+007   651861.     
  1058.95        23932.6      -0.382372E+011   3374.10       0.104905E+007   647943.     
  1090.58        23932.6      -0.380781E+011   3371.03       0.104074E+007   644016.     
  1122.20        23932.6      -0.378912E+011   3365.60       0.102726E+007   638461.     
  1153.82        23932.6      -0.377313E+011   3362.48       0.101890E+007   634526.     
  1185.45        23932.6      -0.375710E+011   3359.31       0.101048E+007   630583.     
  1217.07        23932.6      -0.374101E+011   3356.11       0.100200E+007   626631.     
  1248.69        23932.6      -0.372488E+011   3352.87        993454.        622672.     
  1280.32        23932.6      -0.370870E+011   3349.59        984849.        618705.     
  1311.94        23932.6      -0.369247E+011   3346.26        976181.        614730.     
  1343.56        23932.6      -0.367619E+011   3342.90        967450.        610748.     
  1375.18        23932.6      -0.365986E+011   3339.49        958653.        606758.     
  1406.81        23932.6      -0.364349E+011   3336.03        949789.        602760.     
  1438.43        23932.6      -0.362706E+011   3332.53        940857.        598754.     
  1470.05        23932.6      -0.361058E+011   3328.99        931856.        594740.     
  1501.68        23932.6      -0.359404E+011   3325.39        922783.        590719.     
  1533.30        23932.6      -0.357746E+011   3321.75        913637.        586688.     
  300.000        35898.4      -0.410243E+011   3474.50       0.131023E+007   762588.     
  331.623        35898.4      -0.408359E+011   3466.76       0.129914E+007   750135.     
  363.246        35898.4      -0.407142E+011   3464.91       0.129332E+007   747033.     
  394.869        35898.4      -0.405876E+011   3462.98       0.128726E+007   743810.     
