|6.6.6
primRef_quadrant8_1.tab                                                                             
           2
T(K)    
   2766.6999999999998     
   31.623076923076926     
          40
P(bar)  
   933334.00000000000     
   11965.794871794871     
          40
           6
T(K)           P(bar)         mode           rho,kg/m3      Ks,bar         Gs,bar        
  2766.70        933334.       0.504002E+011   5258.90       0.569307E+007  0.234377E+007
  2798.32        933334.       0.505798E+011   5256.45       0.568795E+007  0.233771E+007
  2829.95        933334.       0.507594E+011   5253.99       0.568284E+007  0.233165E+007
  2861.57        933334.       0.509389E+011   5251.53       0.567772E+007  0.232557E+007
  2893.19        933334.       0.511184E+011   5249.06       0.567259E+007  0.231950E+007
  2924.82        933334.       0.512979E+011   5246.60       0.566747E+007  0.231341E+007
  2956.44        933334.       0.514773E+011   5244.13       0.566234E+007  0.230732E+007
  2988.06        933334.       0.516567E+011   5241.65       0.565721E+007  0.230123E+007
  3019.68        933334.       0.518360E+011   5239.18       0.565207E+007  0.229513E+007
  3051.31        933334.       0.520153E+011   5236.70       0.564693E+007  0.228902E+007
  3082.93        933334.       0.521945E+011   5234.22       0.564179E+007  0.228291E+007
  3114.55        933334.       0.523737E+011   5231.73       0.563644E+007  0.227679E+007
  3146.18        933334.       0.525528E+011   5229.24       0.563150E+007  0.227067E+007
  3177.80        933334.       0.527319E+011   5226.75       0.562634E+007  0.226454E+007
  3209.42        933334.       0.529110E+011   5224.26       0.562119E+007  0.225840E+007
  3241.05        933334.       0.530900E+011   5221.76       0.561603E+007  0.225226E+007
  3272.67        933334.       0.532689E+011   5219.26       0.561087E+007  0.224611E+007
  3304.29        933334.       0.534478E+011   5216.76       0.560571E+007  0.223996E+007
  3335.92        933334.       0.536266E+011   5214.25       0.560054E+007  0.223380E+007
  3367.54        933334.       0.538054E+011   5211.74       0.559537E+007  0.222764E+007
  3399.16        933334.       0.539841E+011   5209.23       0.559020E+007  0.222147E+007
  3430.78        933334.       0.541628E+011   5206.72       0.558502E+007  0.221529E+007
  3462.41        933334.       0.543414E+011   5204.20       0.557984E+007  0.220911E+007
  3494.03        933334.       0.545200E+011   5201.68       0.557466E+007  0.220292E+007
  3525.65        933334.       0.546985E+011   5199.16       0.556947E+007  0.219673E+007
  3557.28        933334.       0.548769E+011   5196.63       0.556428E+007  0.219053E+007
  3588.90        933334.       0.550553E+011   5194.10       0.555909E+007  0.218433E+007
  3620.52        933334.       0.552336E+011   5191.57       0.555390E+007  0.217812E+007
  3652.15        933334.       0.554119E+011   5189.03       0.554870E+007  0.217190E+007
  3683.77        933334.       0.555901E+011   5186.50       0.554350E+007  0.216568E+007
  3715.39        933334.       0.557683E+011   5183.95       0.553829E+007  0.215945E+007
  3747.02        933334.       0.559463E+011   5181.41       0.553308E+007  0.215322E+007
  3778.64        933334.       0.561244E+011   5178.86       0.552787E+007  0.214698E+007
  3810.26        933334.       0.563023E+011   5176.31       0.552266E+007  0.214073E+007
  3841.88        933334.       0.564802E+011   5173.76       0.551744E+007  0.213448E+007
  3873.51        933334.       0.566580E+011   5171.20       0.551240E+007  0.212823E+007
  3905.13        933334.       0.568358E+011   5168.64       0.550700E+007  0.212196E+007
  3936.75        933334.       0.570135E+011   5166.08       0.550177E+007  0.211570E+007
  3968.38        933334.       0.571911E+011   5163.52       0.549654E+007  0.210942E+007
  4000.00        933334.       0.573687E+011   5160.95       0.549131E+007  0.210314E+007
  2766.70        945300.       0.516607E+011   5270.51       0.573586E+007  0.235673E+007
  2798.32        945300.       0.518402E+011   5268.07       0.573076E+007  0.235068E+007
  2829.95        945300.       0.520197E+011   5265.63       0.572565E+007  0.234464E+007
  2861.57        945300.       0.521992E+011   5263.18       0.572054E+007  0.233858E+007
  2893.19        945300.       0.523786E+011   5260.73       0.571543E+007  0.233252E+007
  2924.82        945300.       0.525580E+011   5258.27       0.571032E+007  0.232646E+007
  2956.44        945300.       0.527373E+011   5255.81       0.570520E+007  0.232039E+007
  2988.06        945300.       0.529167E+011   5253.35       0.570008E+007  0.231431E+007
  3019.68        945300.       0.530959E+011   5250.89       0.569495E+007  0.230823E+007
  3051.31        945300.       0.532751E+011   5248.43       0.568983E+007  0.230214E+007
  3082.93        945300.       0.534543E+011   5245.96       0.568470E+007  0.229605E+007
  3114.55        945300.       0.536334E+011   5243.49       0.567956E+007  0.228995E+007
  3146.18        945300.       0.538125E+011   5241.01       0.567443E+007  0.228385E+007
  3177.80        945300.       0.539915E+011   5238.53       0.566929E+007  0.227773E+007
  3209.42        945300.       0.541705E+011   5236.05       0.566415E+007  0.227162E+007
  3241.05        945300.       0.543494E+011   5233.57       0.565900E+007  0.226550E+007
  3272.67        945300.       0.545283E+011   5231.08       0.565377E+007  0.225937E+007
  3304.29        945300.       0.547071E+011   5228.59       0.564870E+007  0.225323E+007
  3335.92        945300.       0.548859E+011   5226.10       0.564354E+007  0.224710E+007
  3367.54        945300.       0.550646E+011   5223.61       0.563839E+007  0.224095E+007
  3399.16        945300.       0.552433E+011   5221.11       0.563322E+007  0.223480E+007
  3430.78        945300.       0.554219E+011   5218.61       0.562806E+007  0.222864E+007
  3462.41        945300.       0.556004E+011   5216.11       0.562289E+007  0.222248E+007
  3494.03        945300.       0.557789E+011   5213.60       0.561772E+007  0.221632E+007
  3525.65        945300.       0.559574E+011   5211.09       0.561255E+007  0.221014E+007
  3557.28        945300.       0.561357E+011   5208.58       0.560737E+007  0.220396E+007
  3588.90        945300.       0.563141E+011   5206.06       0.560219E+007  0.219778E+007
  3620.52        945300.       0.564923E+011   5203.54       0.559701E+007  0.219159E+007
  3652.15        945300.       0.566705E+011   5201.02       0.559183E+007  0.218539E+007
  3683.77        945300.       0.568487E+011   5198.50       0.558664E+007  0.217919E+007
  3715.39        945300.       0.570267E+011   5195.97       0.558145E+007  0.217298E+007
  3747.02        945300.       0.572048E+011   5193.44       0.557625E+007  0.216677E+007
  3778.64        945300.       0.573827E+011   5190.91       0.557105E+007  0.216055E+007
  3810.26        945300.       0.575606E+011   5188.37       0.556585E+007  0.215433E+007
  3841.88        945300.       0.577384E+011   5185.83       0.556065E+007  0.214810E+007
  3873.51        945300.       0.579162E+011   5183.29       0.555544E+007  0.214186E+007
  3905.13        945300.       0.580939E+011   5180.75       0.555023E+007  0.213562E+007
  3936.75        945300.       0.582715E+011   5178.20       0.554502E+007  0.212937E+007
  3968.38        945300.       0.584491E+011   5175.65       0.553981E+007  0.212312E+007
  4000.00        945300.       0.586266E+011   5173.10       0.553459E+007  0.211686E+007
  2766.70        957266.       0.529233E+011   5282.06       0.577859E+007  0.236961E+007
  2798.32        957266.       0.531028E+011   5279.63       0.577350E+007  0.236359E+007
  2829.95        957266.       0.532823E+011   5277.20       0.576841E+007  0.235756E+007
  2861.57        957266.       0.534617E+011   5274.76       0.576331E+007  0.235152E+007
  2893.19        957266.       0.536410E+011   5272.32       0.575821E+007  0.234548E+007
  2924.82        957266.       0.538204E+011   5269.88       0.575311E+007  0.233944E+007
  2956.44        957266.       0.539997E+011   5267.44       0.574800E+007  0.233338E+007
  2988.06        957266.       0.541789E+011   5264.99       0.574289E+007  0.232733E+007
  3019.68        957266.       0.543581E+011   5262.54       0.573778E+007  0.232126E+007
  3051.31        957266.       0.545373E+011   5260.09       0.573267E+007  0.231519E+007
  3082.93        957266.       0.547164E+011   5257.63       0.572755E+007  0.230912E+007
  3114.55        957266.       0.548954E+011   5255.17       0.572242E+007  0.230304E+007
  3146.18        957266.       0.550745E+011   5252.71       0.571730E+007  0.229695E+007
  3177.80        957266.       0.552534E+011   5250.25       0.571217E+007  0.229086E+007
  3209.42        957266.       0.554323E+011   5247.78       0.570729E+007  0.228476E+007
  3241.05        957266.       0.556112E+011   5245.31       0.570191E+007  0.227866E+007
  3272.67        957266.       0.557900E+011   5242.84       0.569677E+007  0.227255E+007
  3304.29        957266.       0.559688E+011   5240.36       0.569163E+007  0.226644E+007
  3335.92        957266.       0.561475E+011   5237.88       0.568649E+007  0.226032E+007
  3367.54        957266.       0.563261E+011   5235.40       0.568110E+007  0.225419E+007
  3399.16        957266.       0.565047E+011   5232.92       0.567619E+007  0.224806E+007
  3430.78        957266.       0.566833E+011   5230.43       0.567104E+007  0.224192E+007
  3462.41        957266.       0.568618E+011   5227.94       0.566589E+007  0.223578E+007
  3494.03        957266.       0.570402E+011   5225.45       0.566073E+007  0.222963E+007
  3525.65        957266.       0.572186E+011   5222.95       0.565556E+007  0.222348E+007
  3557.28        957266.       0.573969E+011   5220.45       0.565040E+007  0.221732E+007
  3588.90        957266.       0.575751E+011   5217.95       0.564526E+007  0.221116E+007
  3620.52        957266.       0.577533E+011   5215.45       0.564007E+007  0.220498E+007
  3652.15        957266.       0.579315E+011   5212.94       0.563489E+007  0.219881E+007
  3683.77        957266.       0.581095E+011   5210.43       0.562926E+007  0.219263E+007
  3715.39        957266.       0.582876E+011   5207.92       0.562454E+007  0.218644E+007
  3747.02        957266.       0.584655E+011   5205.40       0.561936E+007  0.218025E+007
  3778.64        957266.       0.586434E+011   5202.88       0.561417E+007  0.217405E+007
  3810.26        957266.       0.588212E+011   5200.36       0.560898E+007  0.216784E+007
  3841.88        957266.       0.589990E+011   5197.83       0.560379E+007  0.216164E+007
  3873.51        957266.       0.591767E+011   5195.31       0.559860E+007  0.215542E+007
  3905.13        957266.       0.593543E+011   5192.78       0.559340E+007  0.214920E+007
  3936.75        957266.       0.595319E+011   5190.24       0.558820E+007  0.214297E+007
  3968.38        957266.       0.597094E+011   5187.71       0.558300E+007  0.213674E+007
  4000.00        957266.       0.598868E+011   5185.17       0.557779E+007  0.213050E+007
  2766.70        969231.       0.541882E+011   5293.54       0.582127E+007  0.238243E+007
  2798.32        969231.       0.543676E+011   5291.12       0.581620E+007  0.237643E+007
  2829.95        969231.       0.545470E+011   5288.70       0.581100E+007  0.237041E+007
  2861.57        969231.       0.547264E+011   5286.28       0.580603E+007  0.236440E+007
  2893.19        969231.       0.549057E+011   5283.85       0.580094E+007  0.235837E+007
  2924.82        969231.       0.550850E+011   5281.42       0.579585E+007  0.235234E+007
  2956.44        969231.       0.552642E+011   5278.99       0.579075E+007  0.234631E+007
